name,num_films
Walter E. Richarz,1
Philipp von Seil,1
George Roy Hill,14
Charles Dismukes,1
Ray Gosnell Jr.,5
Hal Ashby,11
Ingmar Bergman,40
Shay Austin,1
Andrew Precht,1
Tom Stoppard,1
Gregory Jacobs,7
Phil Bowles,2
Harry Keller,5
Terence Nelson,2
Richard Maybery,9
Savage Steve Holland,12
Fritz Lang,38
Jean-Jacques Beineix,6
Carlos Conti,1
Tom Rooker,1
Bill Bannerman,2
Grant Lucibello,4
Allan Moyle,8
Russell Saunders,14
David McGiffert,5
José López Rodero,5
Franklin J. Schaffner,13
Michael Pickwoad,1
Ray Corbett,3
Jack Senter,1
Eli Dunn,3
Katsuhiro Ōtomo,6
Hank Moonjean,5
Stuart Rosenberg,13
Michael Grillo,1
Barry Stern,2
Charlie Chaplin,44
Wheeler Dryden,2
James Algar,11
Paul Satterfield,2
Jim Handley,1
T. Hee,1
Fred Zinnemann,18
Emmett Emerson,2
Jeannot Szwarc,8
Ken Adam,1
Godfrey Reggio,6
Artist W. Robinson,6
Robert W. Laing,1
Fred M. Wilcox,6
Phil Alden Robinson,6
Alan Edmisten,2
Grant Gilmore,1
