name,num_films
Ely Pouget,6
Camille Cooper,4
Patrick LaBrecque,2
Crystal Celeste Grant,1
Sean P. Young,1
Mathew Valencia,2
Kevin Conway,27
Trever O'Brien,3
Richard Fancy,8
Castulo Guerra,8
Molly Shannon,48
Ellis E. Williams,3
Jerry Barone,1
Mary Elizabeth Mastrantonio,16
Geoff Pierson,16
Victoria Abril,25
Josiane Balasko,28
Alain Chabat,27
Catherine Hiegel,7
Katrine Boorman,3
Telsche Boorman,1
Véronique Barrault,5
Ice Cube,35
Nia Long,24
Tom Lister Jr.,39
John Witherspoon,15
Anna Maria Horsford,19
Regina King,23
Paula Jai Parker,12
DJ Pooh,2
Tony Cox,28
Anthony Johnson,6
Meagan Good,28
Terri J. Vaughn,6
F. Gary Gray,3
Reynaldo Rey,4
Michael Clarke Duncan,42
George Clooney,47
Harvey Keitel,91
Juliette Lewis,46
Ernest Liu,1
Cheech Marin,48
Tom Savini,35
Fred Williamson,30
Michael Parks,31
Brenda Hillhouse,3
John Saxon,45
Kelly Preston,35
John Hawkes,41
Tito Larriva,8
Peter Atanasoff,1
Johnny Vatos Hernandez,1
Aimee Graham,8
Heidi McNeal,1
Ernest M. Garcia,1
Gregory Nicotero,13
Cristos,2
Mike Moroff,9
Tia Texada,7
Janine Jordae,1
Ungela Brockman,2
Michelle Berube,2
Michael McKay,2
Jake McKinnon,4
Walter Phelan,4
Wayne Toth,1
William Baldwin,29
Cindy Crawford,5
Steven Berkoff,28
Christopher McDonald,68
Johann Carlo,3
John Bedford Lloyd,11
Jenette Goldstein,12
Olek Krupa,20
Gustav Vintas,2
Marc Macaulay,27
Ruben Rabasa,10
Sonny Carl Davis,30
Antoni Corone,17
Josh Hamilton,26
Carlos Jacott,7
Eric Stoltz,43
Chris Eigeman,9
Jason Wiles,4
Parker Posey,53
Samuel Gould,2
Catherine Kellner,11
Jonathan Baumbach,1
Peter Czernin,1
Eliza Roberts,3
Christopher Reed,3
Noah Baumbach,2
Dean Cameron,11
Elliott Gould,52
David DeLuise,11
Cara Buono,14
Perrey Reeves,11
Lauren Katz,4
John Lehr,2
Jean-Paul Belmondo,47
Michel Boujenah,5
Alessandra Martines,7
Salomé Lelouch,1
Annie Girardot,24
Philippe Léotard,12
Philippe Khorsand,7
Nicole Croisille,3
William Leymergie,2
Jean Marais,20
Micheline Presle,20
Darry Cowl,9
Clémentine Célarié,11
Daniel Toscan du Plantier,3
Christian Slater,71
Mary Stuart Masterson,22
Pamela Adlon,26
Josh Brolin,46
Brian Tarantina,13
Debra Monk,26
Mary Alice,12
Kenneth Cranham,27
Ally Walker,9
Anne Pitoniak,12
Michael Haley,3
Cass Morgan,3
Gina Torres,12
Nick Tate,8
Víctor Sierra,3
Michael Mantell,16
Zachary Chaltiel,1
Claire Jacobs,1
Paul Cassell,3
Desiree Casado,4
Aldis Hodge,8
Jessica Brooks Grant,3
Jonathan Nocera,1
Leah Pepper,1
Donna Jean Fogel,1
S.A. Griffin,5
Edith Blume,1
Liz Sinclair,1
Al Cerullo,3
John D. Bair,2
Jamie Harrold,12
Adrian Lee,2
Andrea Leigh,1
Benjamin Rutkowski,1
Rick Moranis,23
Tom Arnold,65
Julianne Phillips,2
Carol Kane,48
Jeffrey Tambor,59
Curtis Armstrong,32
Don Knotts,24
Roy Dupuis,7
Jennifer Rubin,11
Andrew Lauer,6
Liliana Komorowska,6
Michael Caloz,1
Jason Cavalier,6
Ron White,13
Charles Edwin Powell,1
Nico,8
Tina Aumont,17
Jackson Browne,3
John Cale,4
Paul Morrissey,6
Viva,10
Ari Boulogne,3
Jack Nicholson,57
Anjelica Huston,59
Robin Wright,38
Piper Laurie,28
Richard Bradford,29
Priscilla Barnes,9
David Baerwald,1
Robbie Robertson,6
John Savage,45
Kari Wuhrer,29
Jennifer Leigh Warren,4
Kellita Smith,6
Bobby Cooper,4
Jeff Morris,7
Buddy Anderson,1
Edward L. Katz,1
Joe Viterelli,15
Eileen Ryan,14
Ryo Ishibashi,18
Dennis Fanning,2
Lisa Crawford,1
Jay Koiwai,1
Elizabeth Gilliam,1
Michael Ryan,6
Matthew Ryan,2
Leo Penn,5
Penelope Allen,11
Richard C. Sarafian,8
Alec Baldwin,82
Joseph Gordon-Levitt,38
Anne Heche,43
Michael Constantine,18
Matt Craven,32
Todd Susman,8
Michael Rispoli,28
Julie Halston,4
Matthew Cowles,6
Polly Adams,3
Aida Mohammadkhani,2
Mohsen Kafili,1
Fereshteh Sadre Orafaiy,2
Anna Borkowska,1
Mohammad Shahani,1
Andy García,57
Christopher Lloyd,82
William Forsythe,46
Treat Williams,46
Steve Buscemi,101
Fairuza Balk,20
Gabrielle Anwar,20
Christopher Walken,96
Michael Nicolosi,4
